Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmen;Gültige Stimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Nationaldemokratische Partei Deutschlands;Freie Demokratische Partei;Familien-Partei Deutschlands;PARTEI MENSCH UMWELT TIERSCHUTZ;Piratenpartei Deutschland;FREIE WÄHLER;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Ab jetzt...Demokratie durch Volksabstimmung Politik für die;Deutsche Kommunistische Partei;Ökologisch-Demokratische Partei;Marxistisch-Leninistische Partei Deutschlands;Sozialistische Gleichheitspartei, Vierte Internationale;Bayernpartei;Aktion Partei für Tierschutz – DAS ORIGINAL;Allianz für Menschenrechte, Tier- und Naturschutz;Bündnis C - Christen für Deutschland;Bündnis für Innovation & Gerechtigkeit;Bündnis Grundeinkommen Die Grundeinkommenspartei;Demokratie DIREKT!;Demokratie in Europa - DiEM25;DER DRITTE WEG;Die Grauen – Für alle Generationen;DIE RECHTE – Partei für Volksabstimmung, Souveränität u;Die Violetten;Europäische Partei LIEBE;Feministische Partei DIE FRAUEN;Graue Panther;LKR Bernd Lucke und die Liberal-Konservativen Reformer;Menschliche Welt für das Wohl und Glücklichsein aller;Neue Liberale – Die Sozialliberalen;Ökologische Linke;Partei der Humanisten;PARTEI FÜR DIE TIERE DEUTSCHLAND;Partei für Gesundheitsforschung;Volt Deutschland
6505;Waldstadt II - Am Springbruch;960;136;1096;405;1;8;397;69;29;75;80;43;2;13;20;15;1;9;14;2;0;0;2;0;0;4;0;2;0;1;0;3;0;2;0;0;0;1;1;1;1;0;0;1;2;1;3
7105;Stern - Parforceheide;936;212;1148;515;2;7;508;91;53;85;75;91;3;18;12;9;7;4;20;1;1;0;0;0;1;1;3;0;1;2;1;3;1;3;0;0;1;2;4;1;0;0;0;0;2;3;9
7106;Stern - Johannes-Kepler-Platz/Chopinstr.;919;183;1102;436;0;8;428;85;46;128;57;45;2;12;6;5;3;0;13;3;3;0;0;0;0;2;0;0;0;0;0;1;0;4;0;0;0;2;2;1;1;2;0;0;1;4;0
7107;Stern - Laplacering;725;119;844;299;0;3;296;68;27;62;67;34;2;5;9;4;0;1;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;1
7110;Stern - Otto-Hahn-Ring;778;109;887;283;1;5;278;47;26;64;52;29;0;7;10;8;5;0;10;2;1;1;0;0;0;1;0;0;0;0;0;1;1;3;0;0;0;0;0;2;0;1;0;0;1;3;3
7111;Stern - Jagdhausstr./Eulenkamp;865;161;1026;471;1;6;465;95;52;107;74;61;2;18;6;8;1;4;14;0;1;0;0;0;0;1;2;1;1;0;0;1;2;4;0;0;1;0;3;1;1;0;0;1;0;0;3
7112;Stern - Gaußstr./Sternstr.;767;115;882;235;1;4;231;54;8;49;50;23;3;10;2;6;1;3;8;2;0;1;1;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2
7113;Stern - Kohlhasenbrücker Str.;697;169;866;379;0;1;378;65;50;59;48;76;1;18;6;5;4;4;15;0;0;3;1;0;1;5;1;1;0;0;0;2;0;2;2;1;0;0;0;0;0;3;1;1;1;1;1
7301;Kirchsteigfeld - Eleonore-Prochaska-Str.;845;139;984;420;0;5;415;76;46;60;56;72;3;15;14;14;2;6;29;0;0;0;2;0;1;3;1;1;0;0;0;0;0;2;0;0;3;0;1;1;2;0;0;1;0;1;3
7302;Kirchsteigfeld - Priesterweg;897;109;1006;394;1;6;388;70;34;74;63;51;1;13;10;4;1;7;19;4;2;4;1;0;0;2;1;2;1;0;0;1;1;1;0;0;0;1;1;1;3;0;1;2;3;3;6
7304;Kirchsteigfeld - Pierre-de-Gayette-Str.;552;90;642;277;0;0;277;43;18;66;45;45;0;13;7;9;1;3;8;1;1;2;2;0;0;1;1;1;0;0;0;2;0;4;0;0;0;1;2;1;0;0;0;0;0;0;0
8402;Fahrland - Kartzower Dorfstr.;809;215;1024;440;0;5;435;64;81;37;90;67;0;34;9;14;2;6;8;1;1;1;0;0;0;2;4;1;0;0;0;1;0;1;2;1;2;0;2;0;0;0;0;0;1;1;2
9033;Potsdam Briefwahlbezirk 9033;0;0;0;538;538;1;537;79;133;45;45;133;2;61;0;8;1;2;9;0;1;2;0;0;0;2;0;0;1;1;0;1;0;2;0;0;2;0;1;0;0;0;0;1;1;1;3
9034;Potsdam Briefwahlbezirk 9034;0;0;0;548;548;2;546;99;90;55;30;149;0;25;2;9;4;2;30;0;1;2;0;0;0;4;2;1;1;2;0;8;0;3;0;2;2;1;1;0;1;0;8;3;0;3;6
9038;Potsdam Briefwahlbezirk 9038;0;0;0;562;562;3;559;81;72;85;26;151;1;37;2;10;8;6;20;0;1;5;0;0;1;1;0;0;0;3;1;11;1;3;0;1;3;3;1;3;1;2;0;2;1;3;13
9045;Potsdam Briefwahlbezirk 9045;0;0;0;510;510;0;510;90;93;61;27;141;1;30;1;6;3;3;21;0;1;4;0;0;1;2;1;0;0;1;0;8;0;1;0;0;0;3;2;0;1;0;0;1;1;0;6
9046;Potsdam Briefwahlbezirk 9046;0;0;0;501;501;5;496;91;82;68;75;95;0;25;2;10;0;2;15;2;2;2;0;0;0;2;2;0;0;1;0;6;0;0;0;0;1;1;1;1;0;0;1;2;2;2;3
