Nr;Wahlkreis;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmzettel;Gültige Stimmen;DIE LINKE;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;BÜNDNIS 90/DIE GRÜNEN;DIE aNDERE;Bürgerbündnis freier Wähler e.V.;Alternative für Deutschland;Freie Demokratische Partei;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Charnow;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
1306;2;Bornstedt - Hermann-Mattern-Promenade;844;231;1075;659;2;6;1950;152;407;355;472;246;57;101;157;3;0;0
1601;2;Grube;290;59;349;192;0;5;559;41;80;131;86;52;66;81;18;4;0;0
8201;2;Marquardt;899;91;990;534;0;15;1545;232;230;175;213;105;290;214;78;8;0;0
8401;2;Fahrland - V.-Stechow-Str./Rotkehlchenwe;713;157;870;378;0;8;1091;132;262;162;139;59;87;173;69;8;0;0
8402;2;Fahrland - Kartzower Dorfstr.;897;220;1117;451;0;8;1325;197;257;208;173;57;83;226;98;26;0;0
9040;2;Potsdam Briefwahlbezirk 9040;0;0;0;476;476;1;1421;119;225;321;187;131;248;103;63;24;0;0
9043;2;Potsdam Briefwahlbezirk 9043;0;0;0;456;456;3;1355;173;277;265;258;133;44;108;83;14;0;0
9047;2;Potsdam Briefwahlbezirk 9047;0;0;0;597;597;2;1760;285;406;241;251;98;168;192;96;23;0;0
3102;3;Brandenburger Vorstadt - Feuerbachstr.;901;201;1102;567;3;5;1680;219;283;106;527;312;29;102;56;6;0;40
3106;3;Brandenburger Vorstadt - Tschäpe-Platz;930;265;1195;709;4;8;2101;256;336;157;679;428;23;53;68;7;0;94
3202;3;Potsdam West - Haeckelstr.;1037;161;1198;571;3;12;1660;476;365;123;226;169;28;149;49;17;0;58
3203;3;Potsdam West - An der Pirschheide;901;282;1183;559;3;5;1635;305;276;168;377;303;27;87;40;8;0;44
3204;3;Potsdam West - Knobelsdorffstr.;1101;220;1321;564;0;12;1635;427;376;120;257;193;15;157;25;8;0;57
6101;3;Templiner Vorstadt, Forst Potsdam Süd;1117;242;1359;605;0;8;1780;218;424;337;316;166;29;153;92;13;0;32
9049;3;Potsdam Briefwahlbezirk 9049;0;0;0;422;422;0;1253;239;235;191;281;83;24;79;68;14;0;39
9050;3;Potsdam Briefwahlbezirk 9050;0;0;0;438;438;1;1311;199;271;247;263;66;96;71;47;20;0;31
9055;3;Potsdam Briefwahlbezirk 9055;0;0;0;661;661;5;1965;402;415;276;380;180;20;134;104;10;0;44
4201;4;Zentrum Ost - Humboldtring/Babelsb. Str.;925;204;1129;485;1;9;1418;278;316;110;260;144;32;173;38;7;0;60
4202;4;Zentrum Ost - Hans-Marchwitza-Ring;834;129;963;396;0;11;1150;283;165;75;185;222;23;114;27;15;0;41
4203;4;Zentrum Ost - Lotte-Pulewka-Str.;916;140;1056;436;1;11;1246;350;311;82;138;109;14;155;41;5;0;41
5202;4;Babelsberg Nord - Karl-Marx-Str./Donarst;893;304;1197;630;2;7;1865;211;316;345;400;173;110;100;164;15;0;31
5203;4;Babelsberg Nord - Fontanestr.;969;311;1280;721;3;4;2141;240;395;313;565;283;55;112;129;5;0;44
5207;4;Babelsberg Nord - Rathaus/Humboldtbrücke;996;225;1221;602;1;4;1777;261;315;176;430;344;46;102;45;10;0;48
5208;4;Babelsberg Nord - Goetheplatz;943;224;1167;681;3;3;2006;227;348;277;546;260;68;118;85;25;0;52
5304;4;Babelsberg Süd - Paul-Neumann-Str.;1089;271;1360;693;3;7;2037;325;480;194;402;210;44;230;77;32;0;43
5307;4;Babelsberg Süd - An den Windmühlen;926;149;1075;522;1;7;1540;276;255;165;310;221;40;146;59;13;0;55
9056;4;Potsdam Briefwahlbezirk 9056;0;0;0;652;652;19;1870;354;365;241;294;227;50;190;72;23;0;54
9059;4;Potsdam Briefwahlbezirk 9059;0;0;0;460;460;3;1358;169;297;137;311;273;39;41;57;8;0;26
9063;4;Potsdam Briefwahlbezirk 9063;0;0;0;501;501;5;1488;193;267;162;351;276;67;56;62;16;0;38
