Nr;Wahlkreis;Name;Wahlb. insges.;Wähler;Ungült. Erststimmen;Gültige Erststimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Piratenpartei Deutschland;Freie Demokratische Partei;Ökologisch-Demokratische Partei;PARTEI MENSCH UMWELT TIERSCHUTZ;V-Partei³ – Partei für Veränderung, Vegetarier und Vega;Einzelbewerber Charnow;Einzelbewerberin Ennullat;Einzelbewerber Fuhl;Einzelbewerber Hoffmann;Einzelbewerber Müller;Deutsche Kommunistische Partei;DEUTSCHE KONSERVATIVE;Einzelbewerber Herbig;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Einzelbewerber Respa;Sonstige
9006;0019;Schwielowsee, Briefwahlbezirk 9006;0;1048;4;1044;191;150;120;116;180;240;0;40;0;0;0;0;0;0;0;7;0;0;0;0;0;0
7301;0022;Kirchsteigfeld - Eleonore-Prochaska-Str.;1011;486;6;480;148;40;98;85;67;13;0;11;0;0;0;2;0;0;0;0;0;0;0;16;0;0
1502;0019;Werder (Havel), Gymnasium I;952;507;3;504;150;104;45;85;67;27;0;24;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1304;0019;Bornstedt - Kirschallee/Thaerstr.;1259;697;6;691;204;130;65;92;141;26;0;30;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1512;0019;Werder (Havel), Carl-von-Ossietzky-Obers;1021;445;8;437;114;88;60;73;57;33;0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0
9053;0022;Potsdam Briefwahlbezirk 9053;0;632;5;627;126;88;116;36;188;14;0;27;0;0;0;2;0;0;0;0;1;0;0;29;0;0
1521;0019;Werder (Havel), OT Töplitz, Alte Feuerwe;834;436;7;429;97;103;35;110;50;19;0;12;0;0;0;0;0;0;0;3;0;0;0;0;0;0
9064;0022;Potsdam Briefwahlbezirk 9064;0;1027;8;1019;257;132;256;136;125;35;0;45;0;0;0;2;0;0;0;0;3;0;0;28;0;0
1513;0019;Werder (Havel), Seniorenresidenz Haus 1;395;180;7;173;49;40;26;24;10;14;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1308;0019;Bornstedt - Reiherweg/David-Gilly-Str.;1023;449;2;447;124;63;47;71;110;19;0;11;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1524;0019;Werder (Havel), OT Phöben, Dorfbegegnung;621;362;9;353;69;92;32;77;37;33;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9066;0022;Potsdam Briefwahlbezirk 9066;0;573;0;573;121;50;195;94;65;17;0;7;0;0;0;5;0;0;0;0;4;0;0;15;0;0
1526;0019;Werder (Havel), OT Petzow, Inselparadies;335;157;0;157;36;32;12;34;28;11;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9070;0022;Potsdam Briefwahlbezirk 9070;0;605;8;597;133;75;173;106;50;15;0;23;0;0;0;4;0;0;0;0;1;0;0;17;0;0
9015;0019;Werder (Havel), Briefwahlbezirk IV;0;774;3;771;167;220;78;117;90;70;0;20;0;0;0;0;0;0;0;9;0;0;0;0;0;0
9071;0022;Potsdam Briefwahlbezirk 9071;0;580;2;578;172;62;138;68;67;21;0;21;0;0;0;3;0;0;0;0;2;0;0;24;0;0
9016;0019;Werder (Havel), Briefwahlbezirk V;0;767;7;760;153;208;87;115;103;70;0;18;0;0;0;0;0;0;0;6;0;0;0;0;0;0
1502;0019;Eiche - Kaiser-Friedrich-Str. Süd;757;335;2;333;85;54;59;61;49;12;0;9;0;0;0;0;0;0;0;4;0;0;0;0;0;0
2103;0021;Nauener Vorstadt - Russische Kolonie;945;535;6;529;148;82;64;37;133;18;0;31;0;0;0;0;0;0;0;0;0;0;0;16;0;0
1504;0019;Eiche - Am Tempelberg/Carl-Dähne-Str.;934;396;7;389;92;47;63;40;116;8;0;19;0;0;0;0;0;0;0;4;0;0;0;0;0;0
2202;0021;Jägervorstadt - Am Weinberg/Ulanenweg;1217;656;3;653;220;95;60;66;160;13;0;28;0;0;0;0;0;0;0;0;0;0;0;11;0;0
8101;0019;Uetz-Paaren;358;180;3;177;55;25;16;42;15;17;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0
3103;0021;Brandenburger Vorstadt - Clara-Zetkin-S.;1111;536;10;526;111;44;121;32;166;13;0;18;0;0;0;0;0;0;0;0;0;0;0;21;0;0
8301;0019;Satzkorn;340;199;0;199;58;35;38;38;21;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3105;0021;Brandenburger Vorstadt - Park Sanssouci;1249;722;2;720;184;55;148;48;231;10;0;15;0;0;0;0;0;0;0;0;0;0;0;29;0;0
9032;0019;Potsdam Briefwahlbezirk 9032;0;773;8;765;194;150;107;67;181;26;0;34;0;0;0;0;0;0;0;6;0;0;0;0;0;0
4106;0021;Innenstadt - Alter Markt/Wall am Kiez;997;423;1;422;93;65;68;56;98;10;0;18;0;0;0;0;0;0;0;0;0;0;0;14;0;0
9037;0019;Potsdam Briefwahlbezirk 9037;0;485;1;484;111;51;94;42;138;21;0;26;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5203;0021;Babelsberg Nord - Fontanestr.;1255;690;0;690;180;108;84;52;209;12;0;34;0;0;0;0;0;0;0;0;0;0;0;11;0;0
9038;0019;Potsdam Briefwahlbezirk 9038;0;458;2;456;106;89;85;39;100;16;0;15;0;0;0;0;0;0;0;6;0;0;0;0;0;0
5304;0021;Babelsberg Süd - Paul-Neumann-Str.;1344;700;6;694;232;78;89;93;153;23;0;17;0;0;0;0;0;0;0;0;0;0;0;9;0;0
1201;0019;Schwielowsee, OT Caputh, Bürgerhaus;1372;673;8;665;166;84;55;128;125;80;0;24;0;0;0;0;0;0;0;3;0;0;0;0;0;0
5302;0021;Babelsberg Süd - H-v-Kleist-Str./Wattstr;1171;626;6;620;153;59;103;42;206;18;0;17;0;0;0;0;0;0;0;0;0;0;0;22;0;0
1206;0019;Schwielowsee, OT Geltow I, Grundschule;1380;652;2;650;140;123;72;110;96;77;0;28;0;0;0;0;0;0;0;4;0;0;0;0;0;0
5308;0021;Babelsberg Süd - Schulstr./Fultonstr.;1214;702;8;694;169;57;90;51;270;16;0;20;0;0;0;0;0;0;0;0;0;0;0;21;0;0
1207;0019;Schwielowsee, OT Geltow II, Grundschule;1371;686;8;678;134;140;76;132;86;88;0;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0
5309;0021;Babelsberg Süd - Walter-Klausch-Str.;746;420;5;415;99;57;53;35;118;16;0;16;0;0;0;0;0;0;0;0;0;0;0;21;0;0
9005;0019;Schwielowsee, Briefwahlbezirk 9005;0;742;2;740;147;153;99;80;101;143;0;10;0;0;0;0;0;0;0;7;0;0;0;0;0;0
9051;0021;Potsdam Briefwahlbezirk 9051;0;567;3;564;148;52;99;44;153;17;0;27;0;0;0;0;0;0;0;0;0;0;0;24;0;0
1508;0019;Werder (Havel), Altes Rathaus;717;384;3;381;87;110;18;49;76;18;0;19;0;0;0;0;0;0;0;4;0;0;0;0;0;0
9050;0021;Potsdam Briefwahlbezirk 9050;0;700;3;697;186;94;139;56;167;16;0;14;0;0;0;0;0;0;0;0;0;0;0;25;0;0
1514;0019;Werder (Havel), Zum Werderaner;825;440;1;439;129;93;48;82;51;20;0;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0
4207;0022;Südliche Innenstadt - Finkenweg;382;220;0;220;44;24;44;24;49;8;0;5;0;0;0;0;0;0;0;0;0;0;0;22;0;0
5206;0021;Babelsberg Nord - Alt Nowawes West;1067;610;7;603;159;63;99;56;177;18;0;16;0;0;0;0;0;0;0;0;0;0;0;15;0;0
6101;0022;Templiner Vorstadt, Forst Potsdam Süd;1328;618;3;615;177;88;89;71;132;11;0;25;0;0;0;2;0;0;0;0;0;0;0;20;0;0
5303;0021;Babelsberg Süd - Benzstr./Pestalozzistr.;1142;648;8;640;180;79;107;76;142;17;0;24;0;0;0;0;0;0;0;0;0;0;0;15;0;0
6306;0022;Schlaatz - Wiesenhof/Bisamkiez;911;309;2;307;72;16;68;81;37;15;0;4;0;0;0;1;0;0;0;0;0;0;0;13;0;0
9039;0021;Potsdam Briefwahlbezirk 9039;0;600;4;596;119;135;76;41;135;28;0;49;0;0;0;0;0;0;0;0;0;0;0;13;0;0
6201;0022;Teltower Vorstadt - Kolonie Daheim;1257;653;6;647;193;75;107;55;143;14;0;25;0;0;0;1;0;0;0;0;3;0;0;31;0;0
9040;0021;Potsdam Briefwahlbezirk 9040;0;469;3;466;95;87;48;53;124;14;0;32;0;0;0;0;0;0;0;0;0;0;0;13;0;0
6404;0022;Waldstadt I - Bertolt-Brecht-Str.;1823;861;12;849;277;86;157;145;101;24;0;27;0;0;0;4;0;0;0;0;4;0;0;24;0;0
9047;0021;Potsdam Briefwahlbezirk 9047;0;541;2;539;129;69;99;41;149;17;0;18;0;0;0;0;0;0;0;0;0;0;0;17;0;0
6501;0022;Waldstadt II - Zum Kahleberg;1538;737;22;715;215;53;146;145;80;22;0;19;0;0;0;1;0;0;0;0;6;0;0;28;0;0
4205;0022;Südliche Innenstadt - Hauptbahnhof;1594;609;3;606;159;45;102;55;173;13;0;23;0;0;0;1;0;0;0;0;1;0;0;34;0;0
7108;0022;Stern - Leibnizring;786;293;6;287;81;15;82;67;20;7;0;9;0;0;0;1;0;0;0;0;1;0;0;4;0;0
6203;0022;Teltower Vorstadt - Siedlung Eigenheim;1228;718;6;712;207;84;131;94;101;21;0;42;0;0;0;1;0;0;0;0;9;0;0;22;0;0
6506;0022;Waldstadt II - Liefelds Grund;914;355;3;352;88;32;94;84;23;16;0;3;0;0;0;2;0;0;0;0;0;0;0;10;0;0
6504;0022;Waldstadt II - Saarmunder Str.;1209;407;9;398;105;30;111;70;43;14;0;4;0;0;0;2;0;0;0;0;4;0;0;15;0;0
7105;0022;Stern - Parforceheide;1167;549;11;538;159;51;125;77;66;14;0;21;0;0;0;6;0;0;0;0;0;0;0;19;0;0
7102;0022;Stern - Lilienthalstr.;1141;504;11;493;103;43;147;115;40;16;0;12;0;0;0;4;0;0;0;0;2;0;0;11;0;0
7201;0022;Drewitz - Alt Drewitz/Am Silbergraben;1045;542;12;530;158;66;80;116;47;21;0;20;0;0;0;2;0;0;0;0;0;0;0;20;0;0
7103;0022;Stern - Fichtenallee/Im Schäferfeld;1177;566;6;560;135;59;176;116;43;10;0;10;0;0;0;3;0;0;0;0;1;0;0;7;0;0
1101;0019;Bornim - Max-Eyth-Allee/Lerchensteig;1120;571;6;565;163;101;60;106;74;23;0;33;0;0;0;0;0;0;0;5;0;0;0;0;0;0
7106;0022;Stern - Johannes-Kepler-Platz/Chopinstr.;1101;465;10;455;120;28;161;89;21;11;0;14;0;0;0;1;0;0;0;0;0;0;0;10;0;0
