Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Direktstimmen ungueltige (C);Direktstimmen gueltige (D);D1;D2;D3;D4;D5;D6;D8;D9;D11;D12;D14;D15;D19;D20;D21;D22;D23;Listenstimmen ungueltige (E);Listenstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;Column 57
120690616616;Teltow, Stadt;61;1206906166169040;BRIEFWAHLBEZIRK;Teltow, Briefwahlbezirk V;9040;0;0;0;0;970;0;970;0;0;6;964;181;67;355;49;94;134;27;29;0;5;12;2;4;2;2;0;1;5;965;177;77;282;70;114;149;28;15;28;0;0;2;0;10;1;4;3;1;4;
120690616616;Teltow, Stadt;61;1206906166169041;BRIEFWAHLBEZIRK;Teltow, Briefwahlbezirk VI;9041;0;0;0;0;1049;0;1049;0;0;10;1039;244;65;317;38;114;197;10;15;1;4;19;2;6;5;1;0;1;6;1043;236;73;244;57;150;203;20;9;16;1;0;3;0;15;3;1;2;5;5;
120720240240;Ludwigsfelde, Stadt;61;1207202402400010;STIMMBEZIRK;Ludwigsfelde, Gottlieb-Daimler-Schule (Mensa);10;873;664;209;0;343;343;0;0;0;7;336;26;64;149;29;22;28;4;3;0;3;5;1;0;1;0;0;1;11;332;25;64;116;37;33;21;12;5;5;1;0;2;0;3;1;3;0;2;2;
120720240240;Ludwigsfelde, Stadt;61;1207202402400020;STIMMBEZIRK;Ludwigsfelde, Kita Märchenland;20;1156;806;350;0;489;485;4;4;0;16;473;75;107;157;37;35;35;10;7;0;0;4;1;2;1;0;0;2;17;472;75;100;120;54;40;32;20;5;8;2;0;0;0;5;0;5;1;4;1;
120720240240;Ludwigsfelde, Stadt;61;1207202402409043;BRIEFWAHLBEZIRK;Ludwigsfelde, Briefwahl I;9043;0;0;0;0;955;0;955;0;0;5;950;141;62;409;75;81;93;18;40;3;3;12;3;2;0;6;0;2;7;948;137;70;349;93;103;91;21;15;35;1;2;5;0;7;3;4;4;5;3;
120720240240;Ludwigsfelde, Stadt;61;1207202402409044;BRIEFWAHLBEZIRK;Ludwigsfelde, Briefwahl II;9044;0;0;0;0;1201;0;1201;0;0;14;1187;180;98;526;101;91;98;14;43;3;6;11;2;4;3;3;1;3;15;1186;168;114;424;147;110;108;31;11;46;1;1;2;1;8;1;2;0;8;3;
120720240240;Ludwigsfelde, Stadt;61;1207202402409046;BRIEFWAHLBEZIRK;Ludwigsfelde, Briefwahl IV;9046;0;0;0;0;926;0;926;0;0;18;908;87;72;436;72;65;88;13;36;5;2;12;1;5;4;5;0;5;14;912;85;76;358;88;87;94;31;12;35;6;4;0;1;11;2;6;4;9;3;
120720240240;Ludwigsfelde, Stadt;61;1207202402409047;BRIEFWAHLBEZIRK;Ludwigsfelde, Briefwahl V;9047;0;0;0;0;839;0;839;0;0;10;829;108;73;371;64;71;67;13;34;1;3;12;1;3;3;1;0;4;6;833;102;83;316;89;61;60;37;16;33;2;1;4;1;13;2;4;1;6;2;
120720240240;Ludwigsfelde, Stadt;61;1207202402409048;BRIEFWAHLBEZIRK;Ludwigsfelde, Briefwahl VI;9048;0;0;0;0;298;0;298;0;0;2;296;68;25;82;8;28;49;12;8;0;2;9;0;1;1;3;0;0;3;295;56;30;68;10;30;58;9;4;10;1;0;0;2;12;1;0;0;2;2;
120540000000;Potsdam, Stadt;61;120540000000;GEMEINDE;Potsdam, Stadt;;136171;86717;49454;0;110636;63148;47488;467;0;940;109696;12275;9294;36791;10401;9014;23343;2078;1688;251;542;1809;311;701;635;274;45;244;877;109759;12916;10080;29177;13165;10412;23448;2637;1831;1517;115;197;388;51;1788;254;446;290;329;718;
